Hump Backpackers,Potts Point,Sydney,3.0,7.2,hump-backpackers,332
ibis Budget Sydney Olympic Park,Sydney Olympic Park,Sydney,3.0,7.0,ibis-budget-olympic-park,2749
Manly Bunkhouse,Manly,Sydney,3.5,8.2,manly-bunkhouse,148
ibis Sydney Olympic Park,Sydney Olympic Park,Sydney,3.0,8.2,ibisolympic,1116
Western Sydney University Village - Parramatta,Parramatta,Sydney,3.0,7.5,uws-village,77
Parkview Modern Apartment w Parking @ Olympic Park,Sydney Olympic Park,Sydney,2.5,8.1,parkview-modern-apartment-w-parking-olympic-park,51
Linley House,,Sydney,3.0,8.8,linley-house,63
Burwood Bed and Breakfast,Burwood,Sydney,3.0,6.0,burwood-bed-and-breakfast,98
Fiori Apartments,Parramatta,Sydney,3.0,6.5,fiori-apartments,1426
Lotus Stay Manly - Apartment 31C,Manly,Sydney,2.5,7.8,lotus-stay-manly-apartment-631,68
Hurstville Ritz Hotel,,Sydney,3.0,6.1,hurstville-ritz,188
